,car_ID,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg
37,38,0,0,0,1,2,0,0,96.5,167.5,65.2,53.3,2236,3,0,110,1,3.15,3.58,9.0,86,5800,27,33
5,6,2,0,0,1,3,0,0,99.8,177.3,66.3,53.1,2507,3,0,136,0,3.19,3.4,8.5,110,5500,19,25
186,187,2,0,0,0,3,0,0,97.3,171.7,65.5,55.7,2275,3,0,109,0,3.19,3.4,9.0,85,5250,27,34
24,25,1,0,0,0,2,0,0,93.7,157.3,63.8,50.6,1967,3,0,90,0,2.97,3.23,9.4,68,5500,31,38
61,62,1,0,0,1,2,0,0,98.8,177.8,66.5,53.7,2385,3,0,122,0,3.39,3.39,8.6,84,4800,26,32
31,32,2,0,0,1,2,0,0,86.6,144.6,63.9,50.8,1819,3,0,92,1,2.91,3.41,9.2,76,6000,31,38
166,167,1,0,0,1,2,0,0,94.5,168.7,64.0,52.6,2300,0,0,98,0,3.24,3.08,9.4,112,6600,26,29
124,125,3,0,1,1,2,0,0,95.9,173.2,66.3,50.2,2818,3,0,156,0,3.59,3.86,7.0,145,5000,19,24
62,63,0,0,0,0,3,0,0,98.8,177.8,66.5,55.5,2410,3,0,122,0,3.39,3.39,8.6,84,4800,26,32
119,120,1,0,1,1,2,0,0,93.7,157.3,63.8,50.8,2128,3,0,98,0,3.03,3.39,7.6,102,5500,24,30
156,157,0,0,0,0,3,0,0,95.7,166.3,64.4,53.0,2081,3,0,98,0,3.19,3.03,9.0,70,4800,30,37
4,5,2,0,0,0,3,1,0,99.4,176.6,66.4,54.3,2824,3,0,136,0,3.19,3.4,8.0,115,5500,18,22
41,42,0,0,0,0,3,0,0,96.5,175.4,65.2,54.1,2465,3,0,110,0,3.15,3.58,9.0,101,5800,24,28
131,132,2,0,0,1,2,0,0,96.1,176.8,66.6,50.5,2460,3,0,132,0,3.46,3.9,8.7,90,5100,23,31
71,72,-1,0,0,0,3,0,0,115.6,202.6,71.7,56.5,3740,5,1,234,0,3.46,3.1,8.3,155,4750,16,18
54,55,1,0,0,0,3,0,0,93.1,166.8,64.2,54.1,1950,3,0,91,0,3.08,3.15,9.0,68,5000,31,38
154,155,0,0,0,0,4,1,0,95.7,169.7,63.6,59.1,2290,3,0,92,0,3.05,3.03,9.0,62,4800,27,32
90,91,1,1,0,1,3,0,0,94.5,165.3,63.8,54.5,2017,3,0,103,0,2.99,3.47,21.9,55,4800,45,50
25,26,1,0,0,0,3,0,0,93.7,157.3,63.8,50.6,1989,3,0,90,0,2.97,3.23,9.4,68,5500,31,38
104,105,3,0,0,1,2,0,0,91.3,170.7,67.9,49.7,3071,5,0,181,0,3.43,3.27,9.0,160,5200,19,25
12,13,0,0,0,1,3,0,0,101.2,176.8,64.8,54.3,2710,3,0,164,0,3.31,3.19,9.0,121,4250,21,28
113,114,0,0,0,0,4,0,0,114.2,198.9,68.4,56.7,3285,2,0,120,0,3.46,2.19,8.4,95,5000,19,24
13,14,0,0,0,0,3,0,0,101.2,176.8,64.8,54.3,2765,3,0,164,0,3.31,3.19,9.0,121,4250,21,28
82,83,3,0,1,1,2,0,0,95.9,173.2,66.3,50.2,2833,3,0,156,0,3.58,3.86,7.0,145,5000,19,24
91,92,1,0,0,1,3,0,0,94.5,165.3,63.8,54.5,1918,3,0,97,0,3.15,3.29,9.4,69,5200,31,37
197,198,-1,0,0,0,4,0,0,104.3,188.8,67.2,57.5,3042,3,0,141,0,3.78,3.15,9.5,114,5400,24,28
11,12,0,0,0,0,3,0,0,101.2,176.8,64.8,54.3,2395,3,0,108,0,3.5,2.8,8.8,101,5800,23,29
150,151,1,0,0,1,2,0,0,95.7,158.7,63.6,54.5,1985,3,0,92,0,3.05,3.03,9.0,62,4800,35,39
112,113,0,1,1,0,3,0,0,107.9,186.7,68.4,56.7,3252,2,0,152,0,3.7,3.52,21.0,95,4150,28,33
3,4,2,0,0,0,3,0,0,99.8,176.6,66.2,54.3,2337,3,0,109,0,3.19,3.4,10.0,102,5500,24,30
189,190,3,0,0,1,0,0,0,94.5,159.3,64.2,55.6,2254,3,0,109,0,3.19,3.4,8.5,90,5500,24,29
103,104,0,0,0,0,3,0,0,100.4,184.6,66.5,55.1,3060,5,0,181,0,3.43,3.27,9.0,152,5200,19,25
151,152,1,0,0,1,2,0,0,95.7,158.7,63.6,54.5,2040,3,0,92,0,3.05,3.03,9.0,62,4800,31,38
53,54,1,0,0,0,3,0,0,93.1,166.8,64.2,54.1,1945,3,0,91,0,3.03,3.15,9.0,68,5000,31,38
45,46,0,0,0,0,3,0,0,94.5,155.9,63.6,52.0,1909,3,0,90,0,3.03,3.11,9.6,70,5400,38,43
160,161,0,0,0,0,3,0,0,95.7,166.3,64.4,53.0,2094,3,0,98,0,3.19,3.03,9.0,70,4800,38,47
49,50,0,0,0,1,3,0,0,102.0,191.7,70.6,47.8,3950,5,0,326,0,3.54,2.76,11.5,262,5000,13,17
29,30,3,0,1,1,2,0,0,95.9,173.2,66.3,50.2,2811,3,0,156,0,3.6,3.9,7.0,145,5000,19,24
50,51,1,0,0,1,2,0,0,93.1,159.1,64.2,54.1,1890,3,0,91,0,3.03,3.15,9.0,68,5000,30,31
34,35,1,0,0,1,2,0,0,93.7,150.0,64.0,52.6,1956,3,0,92,1,2.91,3.41,9.2,76,6000,30,34
176,177,-1,0,0,0,3,0,0,102.4,175.6,66.5,54.9,2414,3,0,122,0,3.31,3.54,8.7,92,4200,27,32
40,41,0,0,0,0,3,0,0,96.5,175.4,62.5,54.1,2372,3,0,110,1,3.15,3.58,9.0,86,5800,27,33
132,133,3,0,0,1,2,0,0,99.1,186.6,66.5,56.1,2658,3,0,121,0,3.54,3.07,9.31,110,5250,21,28
95,96,1,0,0,1,2,0,0,94.5,165.6,63.8,53.3,2028,3,0,97,0,3.15,3.29,9.4,69,5200,31,37
177,178,-1,0,0,0,2,0,0,102.4,175.6,66.5,53.9,2458,3,0,122,0,3.31,3.54,8.7,92,4200,27,32
1,2,3,0,0,1,0,0,0,88.6,168.8,64.1,48.8,2548,0,0,130,0,3.47,2.68,9.0,111,5000,21,27
87,88,1,0,1,0,3,0,0,96.3,172.4,65.4,51.6,2403,3,0,110,0,3.17,3.46,7.5,116,5500,23,30
181,182,-1,0,0,0,4,0,0,104.5,187.8,66.5,54.1,3151,0,0,161,0,3.27,3.35,9.2,156,5200,19,24
86,87,1,0,0,0,3,0,0,96.3,172.4,65.4,51.6,2405,3,0,122,0,3.35,3.46,8.5,88,5000,25,32
108,109,0,1,1,0,3,0,0,107.9,186.7,68.4,56.7,3197,2,0,152,0,3.7,3.52,21.0,95,4150,28,33
137,138,2,0,1,0,3,0,0,99.1,186.6,66.5,56.1,2847,0,0,121,0,3.54,3.07,9.0,160,5500,19,26
33,34,1,0,0,1,2,0,0,93.7,150.0,64.0,52.6,1940,3,0,92,1,2.91,3.41,9.2,76,6000,30,34
110,111,0,1,1,0,4,0,0,114.2,198.9,68.4,58.7,3430,2,0,152,0,3.7,3.52,21.0,95,4150,25,25
148,149,0,0,0,0,4,1,0,96.9,173.6,65.4,54.9,2420,4,0,108,0,3.62,2.64,9.0,82,4800,23,29
149,150,0,0,1,0,4,1,0,96.9,173.6,65.4,54.9,2650,4,0,108,0,3.62,2.64,7.7,111,4800,23,23
195,196,-1,0,0,0,4,0,0,104.3,188.8,67.2,57.5,3034,3,0,141,0,3.78,3.15,9.5,114,5400,23,28
167,168,2,0,0,1,1,0,0,98.4,176.2,65.6,52.0,2540,3,0,146,0,3.62,3.5,9.3,116,4800,24,30
7,8,1,0,0,0,4,0,0,105.8,192.7,71.4,55.7,2954,3,0,136,0,3.19,3.4,8.5,110,5500,19,25
155,156,0,0,0,0,4,1,0,95.7,169.7,63.6,59.1,3110,3,0,92,0,3.05,3.03,9.0,62,4800,27,32
204,205,-1,0,1,0,3,0,0,109.1,188.8,68.9,55.5,3062,3,0,141,0,3.78,3.15,9.5,114,5400,19,25
44,45,1,0,0,1,3,0,0,94.5,155.9,63.6,52.0,1874,3,0,90,0,3.03,3.11,9.6,70,5400,38,43
183,184,2,0,0,1,3,0,0,97.3,171.7,65.5,55.7,2209,3,0,109,0,3.19,3.4,9.0,85,5250,27,34
64,65,0,0,0,0,2,0,0,98.8,177.8,66.5,55.5,2425,3,0,122,0,3.39,3.39,8.6,84,4800,26,32
32,33,1,0,0,1,2,0,0,93.7,150.0,64.0,52.6,1837,3,0,79,1,2.91,3.07,10.1,60,5500,38,42
118,119,1,0,0,1,2,0,0,93.7,157.3,63.8,50.8,1918,3,0,90,0,2.97,3.23,9.4,68,5500,37,41
19,20,1,0,0,1,2,0,0,94.5,155.9,63.6,52.0,1874,3,0,90,0,3.03,3.11,9.6,70,5400,38,43
8,9,1,0,1,0,3,0,0,105.8,192.7,71.4,55.9,3086,3,0,131,0,3.13,3.4,8.3,140,5500,17,20
174,175,-1,1,1,0,3,0,0,102.4,175.6,66.5,54.9,2480,3,0,110,0,3.27,3.35,22.5,73,4500,30,33
188,189,2,0,0,0,3,0,0,97.3,171.7,65.5,55.7,2300,3,0,109,0,3.19,3.4,10.0,100,5500,26,32
15,16,0,0,0,0,3,0,0,103.5,189.0,66.9,55.7,3230,3,0,209,0,3.62,3.39,8.0,182,5400,16,22
109,110,0,0,0,0,4,0,0,114.2,198.9,68.4,58.7,3230,2,0,120,0,3.46,3.19,8.4,97,5000,19,24
6,7,1,0,0,0,3,0,0,105.8,192.7,71.4,55.7,2844,3,0,136,0,3.19,3.4,8.5,110,5500,19,25
164,165,1,0,0,1,2,0,0,94.5,168.7,64.0,52.6,2204,3,0,98,0,3.19,3.03,9.0,70,4800,29,34
92,93,1,0,0,0,3,0,0,94.5,165.3,63.8,54.5,1938,3,0,97,0,3.15,3.29,9.4,69,5200,31,37
191,192,0,0,0,0,3,0,0,100.4,180.2,66.9,55.1,2661,3,0,136,0,3.19,3.4,8.5,110,5500,19,24
83,84,3,0,1,1,2,0,0,95.9,173.2,66.3,50.2,2921,3,0,156,0,3.59,3.86,7.0,145,5000,19,24
140,141,2,0,0,1,2,1,0,93.3,157.3,63.8,55.7,2240,4,0,108,0,3.62,2.64,8.7,73,4400,26,31
22,23,1,0,0,1,2,0,0,93.7,157.3,63.8,50.8,1876,3,0,90,0,2.97,3.23,9.4,68,5500,31,38
153,154,0,0,0,0,4,0,0,95.7,169.7,63.6,59.1,2280,3,0,92,0,3.05,3.03,9.0,62,4800,31,37
30,31,2,0,0,1,2,0,0,86.6,144.6,63.9,50.8,1713,3,0,92,1,2.91,3.41,9.6,58,4800,49,54
196,197,-2,0,0,0,3,0,0,104.3,188.8,67.2,56.2,2935,3,0,141,0,3.78,3.15,9.5,114,5400,24,28
128,129,3,0,0,1,0,0,1,89.5,168.9,65.0,51.6,2800,4,0,194,0,3.74,2.9,9.5,207,5900,17,25
93,94,1,0,0,0,4,0,0,94.5,170.2,63.8,53.5,2024,3,0,97,0,3.15,3.29,9.4,69,5200,31,37
141,142,0,0,0,0,3,0,0,97.2,172.0,65.4,52.5,2145,4,0,108,0,3.62,2.64,9.5,82,4800,32,37
70,71,-1,1,1,0,3,0,0,115.6,202.6,71.7,56.3,3770,3,0,183,0,3.58,3.64,21.5,123,4350,22,25
126,127,3,0,0,1,1,0,1,89.5,168.9,65.0,51.6,2756,4,0,194,0,3.74,2.9,9.5,207,5900,17,25
88,89,-1,0,0,0,3,0,0,96.3,172.4,65.4,51.6,2403,3,0,110,0,3.17,3.46,7.5,116,5500,23,30
194,195,-2,0,0,0,3,0,0,104.3,188.8,67.2,56.2,2912,3,0,141,0,3.78,3.15,9.5,114,5400,23,28
200,201,-1,0,0,0,3,0,0,109.1,188.8,68.9,55.5,2952,3,0,141,0,3.78,3.15,9.5,114,5400,23,28
98,99,2,0,0,1,1,0,0,95.1,162.4,63.8,53.3,2008,3,0,97,0,3.15,3.29,9.4,69,5200,31,37
36,37,0,0,0,0,4,0,0,96.5,157.1,63.9,58.3,2024,3,0,92,1,2.92,3.41,9.2,76,6000,30,34
74,75,1,0,0,1,1,0,0,112.0,199.2,72.0,55.4,3715,5,1,304,0,3.8,3.35,8.0,184,4500,14,16
201,202,-1,0,1,0,3,0,0,109.1,188.8,68.8,55.5,3049,3,0,141,0,3.78,3.15,8.7,160,5300,19,25
51,52,1,0,0,1,2,0,0,93.1,159.1,64.2,54.1,1900,3,0,91,0,3.03,3.15,9.0,68,5000,31,38
18,19,2,0,0,1,2,0,0,88.4,141.1,60.3,53.2,1488,2,0,61,0,2.91,3.03,9.5,48,5100,47,53
58,59,3,0,0,1,2,0,0,95.3,169.0,65.7,49.6,2500,6,0,80,0,3.33,3.255,9.4,135,6000,16,23
138,139,2,0,0,1,2,0,0,93.7,156.9,63.4,53.7,2050,4,0,97,0,3.62,2.36,9.0,69,4900,31,36
